time,parent,analyte,matrix,conc,replicate,microMexp
15,Atrazine,Atrazine,microsomes,114.7205562,2,150
15,Atrazine,Atrazine,microsomes,107.1291095,3,150
15,Atrazine,Atrazine,microsomes,110.2111065,4,150
30,Atrazine,Atrazine,microsomes,106.4113993,1,150
30,Atrazine,Atrazine,microsomes,109.2588435,2,150
30,Atrazine,Atrazine,microsomes,108.8110859,3,150
30,Atrazine,Atrazine,microsomes,98.45121644,4,150
60,Atrazine,Atrazine,microsomes,105.7397626,1,150
60,Atrazine,Atrazine,microsomes,103.5578664,2,150
60,Atrazine,Atrazine,microsomes,109.569591,3,150
60,Atrazine,Atrazine,microsomes,103.2077499,4,150
90,Atrazine,Atrazine,microsomes,96.26533592,1,150
90,Atrazine,Atrazine,microsomes,104.9741825,2,150
90,Atrazine,Atrazine,microsomes,105.7942757,3,150
90,Atrazine,Atrazine,microsomes,95.31462118,4,150
0,Atrazine,Atrazine,microsomes,152.8225899,1,200
0,Atrazine,Atrazine,microsomes,135.8870454,2,200
0,Atrazine,Atrazine,microsomes,146.1520591,3,200
15,Atrazine,Atrazine,microsomes,200.8987987,1,200
15,Atrazine,Atrazine,microsomes,134.815613,2,200
15,Atrazine,Atrazine,microsomes,211.5785603,3,200
30,Atrazine,Atrazine,microsomes,193.1222732,1,200
30,Atrazine,Atrazine,microsomes,210.4725656,2,200
30,Atrazine,Atrazine,microsomes,213.5140511,3,200
60,Atrazine,Atrazine,microsomes,197.4425651,1,200
60,Atrazine,Atrazine,microsomes,146.8087435,2,200
60,Atrazine,Atrazine,microsomes,201.9011064,3,200
90,Atrazine,Atrazine,microsomes,127.9031459,1,200
90,Atrazine,Atrazine,microsomes,203.6292232,2,200
90,Atrazine,Atrazine,microsomes,128.0068329,3,200
0,Atrazine,Atrazine,microsomes,131.4789717,1,250
0,Atrazine,Atrazine,microsomes,204.8856278,2,250
0,Atrazine,Atrazine,microsomes,177.2918803,3,250
15,Atrazine,Atrazine,microsomes,194.2191372,1,250
15,Atrazine,Atrazine,microsomes,232.3468724,2,250
15,Atrazine,Atrazine,microsomes,253.7129794,3,250
30,Atrazine,Atrazine,microsomes,176.2649821,1,250
30,Atrazine,Atrazine,microsomes,160.3314976,3,250
60,Atrazine,Atrazine,microsomes,227.2455073,1,250
60,Atrazine,Atrazine,microsomes,162.6834257,2,250
60,Atrazine,Atrazine,microsomes,182.9563831,3,250
90,Atrazine,Atrazine,microsomes,193.324742,1,250
90,Atrazine,Atrazine,microsomes,160.6296294,2,250
90,Atrazine,Atrazine,microsomes,218.2684298,3,250
0,Triadimefon,Triadimefon,microsomes,0.491983075,1,0.68082
0,Triadimefon,Triadimefon,microsomes,0.401196591,2,0.68082
0,Triadimefon,Triadimefon,microsomes,0.426789449,3,0.68082
15,Triadimefon,Triadimefon,microsomes,0.399443695,1,0.68082
15,Triadimefon,Triadimefon,microsomes,0.42224169,2,0.68082
15,Triadimefon,Triadimefon,microsomes,0.36799564,3,0.68082
30,Triadimefon,Triadimefon,microsomes,0.335043095,1,0.68082
30,Triadimefon,Triadimefon,microsomes,0.307545884,2,0.68082
30,Triadimefon,Triadimefon,microsomes,0.33049829,3,0.68082
60,Triadimefon,Triadimefon,microsomes,0.298781298,1,0.68082
